canonical_name,display_name,type,occurrences,distinct_works,cross_work,page_refs,name_variants,description
hospesk,Hospesk,divine_name,1,liber_juratus,,189-190,,meaning: Made dry staff sprout flowers for Joseph
ianemyer,Ianemyer,divine_name,1,liber_juratus,,139,,"role: unus, magnus, mirabilis, eterne Deus, angel of eternal council"
iesel,Iesel,divine_name,1,liber_juratus,,173,,"quote: ""Hosel, Iesel et cetera, debent dici paulo post principium orandi"""
ihelur,Ihelur,divine_name,1,liber_juratus,,144,,"role: almighty judge, O Father"
ioht he vau daleth,IOHT HE VAU DALETH,divine_name,1,liber_juratus,,287-288,,description: Tetragrammaton variation
jesus christ,Jesus Christ,divine_name,6,ars_notoria|liber_juratus,yes,102|239|264|41|53,,"description: Son of God, is God and Man, Perfect God, perfect Man · role: Lord; Suffered for salvation, descended into hell, rose again third day; recipient of prayer during Eucharist · nature: eternal only begotten Son of God; living and true God"
jesus christ (iesu christe),Jesus Christ (Iesu Christe),divine_name,1,liber_juratus,,"157, 158",,"quote: ""Iesu Christe, fili Dei unigenite, cui ante secula dedit Pater omnia in manus"""
jesus nazarenus,Jesus Nazarenus,divine_name,1,kieckhefer_clm849,,49r,,function: conjuration authority
"jesus, son of god","Jesus, son of God",divine_name,1,liber_juratus,,"125, 129",,"quote: ""“Jesus, son of God…” (XXVI)"""
joth,Joth,divine_name,1,kieckhefer_clm849,,"n/a (Munich Handbook Clm 849, Expt. 27)",,function: used by Solomon to bind demons; invoked in conjuration of Expt. 27
"lamed, rogum, ragia, ragium, ragiomal, agaled, eradioch, anchovionos, lochen, saza, ya, manichel, mamacuo, lephoa, bozaco, cogemal, saluyel, tesunanu, azaroch, beyestar, amak","Lamed, Rogum, Ragia, Ragium, Ragiomal, Agaled, Eradioch, Anchovionos, Lochen, Saza, Ya, Manichel, Mamacuo, Lephoa, Bozaco, Cogemal, Saluyel, Tesunanu, Azaroch, Beyestar, Amak",divine_name,1,ars_notoria,,20,,function: used to comprehend large volumes of writing
"lameth, leynach, semach, belmay, azzailement, gesegon, lothamasim, ozetogomaglial, zeziphier, josanum, solatac, bozefama, defarciamar, zemait, lemaio, pheralon, anuc, philosophi, gregoon, letos, anum","Lameth, Leynach, Semach, Belmay, Azzailement, Gesegon, Lothamasim, Ozetogomaglial, Zeziphier, Josanum, Solatac, Bozefama, Defarciamar, Zemait, Lemaio, Pheralon, Anuc, Philosophi, Gregoon, Letos, Anum",divine_name,1,ars_notoria,,17,,function: invokes angels and provokes eloquence
lamyhara,Lamyhara,divine_name,2,liber_juratus,,137,,"role: omnipotens, misericors Pater, omnium creatur[urarum] ordinator, iuste iudex, eterne rex regum et Domine dominancium"
layaly,Layaly,divine_name,2,liber_juratus,,31|page 16,,"quote: ""seven divine names used in the Seal of God (IV.14–47, CXXVII.15): Layaly, etc."""
lemath sabanche ellithy aygezo,Lemath Sabanche Ellithy Aygezo,divine_name,1,ars_notoria,,14,,"quote: ""Lemath, Sabanche, Ellithy, Aygezo."""
lethellete,Lethellete,divine_name,1,liber_juratus,,180,,function: stretched out Heaven above clouds
lialy,Lialy,divine_name,1,liber_juratus,,243,,function: Name of Creator to write outside circle
"megal, legal, chariotos","Megal, Legal, Chariotos",divine_name,1,ars_notoria,,23,,function: third part of Oration
"messyas, soter, emanuel, pancraton, occinomos","Messyas, Soter, Emanuel, Pancraton, Occinomos",divine_name,1,kieckhefer_clm849,,48r,,function: conjuration authority
michael,Michael,divine_name,1,kieckhefer_clm849,,p. 207,,"quote: ""Agla / Michael virtus dei / Gabriel fortitudo..."""
monhon,Monhon,divine_name,1,liber_juratus,,134,,"quote: ""Monhon, Domine, sancte Pater, omnipotens"""
most high creator,Most High Creator,divine_name,1,ars_notoria,,11,,description: God as creator · role: source of revelation
nabnoth,Nabnoth,divine_name,1,kieckhefer_clm849,,"n/a (Munich Handbook Clm 849, Expt. 27)",,function: used with Joth to bind demons; invoked in Expt. 27
names of god (1-81),Names of God (1-81),divine_name,1,liber_juratus,,"265, 267",,"quote: ""through these his holy names: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10"""
narath / libarre / libares / lialg / ueham / yalgal,Narath / Libarre / Libares / Lialg / Ueham / Yalgal,divine_name,1,liber_juratus,,69-70,,"quote: ""scribatur hoc nomen sanctum Dei: Narath."""
occynnomos,Occynnomos,divine_name,1,liber_juratus,,189-190,,"meaning: Sent star to Kings Caspar, Melchior, Balthasar"
oh eternal and unreprehensible memory! oh uncontradictible wisdom! oh unchangeable power,Oh Eternal and Unreprehensible Memory! Oh Uncontradictible Wisdom! Oh Unchangeable Power!,divine_name,1,ars_notoria,,21,,"function: invoked for memory, wisdom, understanding"
on,On,divine_name,1,liber_juratus,,296-297,,"quote: ""in summitate eius sculpatur hoc nomen: On"""
on / adonay / saday / sother / christus (χρς),On / Adonay / Saday / Sother / Christus (Χρς),divine_name,1,liber_juratus,,71-73,,"quote: ""in the other under the fourth cross again On."""
on alpha omega el ely eloe elion sother emanuel sabaoth adonay egge ya ye,On Alpha Omega El Ely Eloe Elion Sother Emanuel Sabaoth Adonay Egge Ya Ye,divine_name,1,liber_juratus,,287-288,,description: Holy names for consecration
"on, orion, sabaoth, adonay","On, Orion, Sabaoth, Adonay",divine_name,1,kieckhefer_clm849,,46r,,function: conjuration authority
orha,Orha,divine_name,1,liber_juratus,,189-190,,meaning: Sent Gabriel to announce incarnation
pantocrator,Pantocrator,divine_name,1,kieckhefer_clm849,,46r (margin note),,function: conjuration authority
paraclitus,Paraclitus,divine_name,2,kieckhefer_clm849|liber_juratus,yes,180|p. 207,,function: appeared to Abraham in three persons
porrenthimon,Porrenthimon,divine_name,1,liber_juratus,,143,,role: mediator of all operations and creatures
rabarmas,Rabarmas,divine_name,1,liber_juratus,,269-270,,"quote: ""invoking I conjure you through Zabuater, Rabarmas, Hiskiros"""
rabur,Rabur,divine_name,1,liber_juratus,,189-190,,meaning: Fasted 40 days in desert
raphael,Raphael,divine_name,1,kieckhefer_clm849,,p. 207,,"quote: ""...Raphael medicina dei..."""
sabaoth,Sabaoth,divine_name,3,kieckhefer_clm849|liber_juratus,yes,217|296-297|p. 207,,meaning: the army of angels
saday,Saday,divine_name,1,liber_juratus,,324,,"quote: ""Saday, Hebrew, Shaddai. Also on Seal of God"""
semenphoras,Semenphoras,divine_name,1,liber_juratus,,287-288,,"quote: ""nominis tui “Semenphoras”... Shem Ha-Meforash..."""
"semet, lamen","Semet, Lamen",divine_name,1,ars_notoria,,26,,"quote: ""begin to say this Oration following seriously: Semet, Lamen, &c."""
shem ha-meforash,Shem ha-Meforash,divine_name,3,liber_juratus,,"16, 23, 31, 53, 65, 287, 289|31|53",Shem Ha-Meforash|Shem ha-Meforash,description: seventy-two letter name of God
shem ha-meforash / semenphoras,Shem Ha-Meforash / Semenphoras,divine_name,1,liber_juratus,,65-66,,"quote: ""great name of the Lord Shem Ha-Meforash of seventy-two letters."""
tetragrammaton,Tetragramaton,divine_name,8,kieckhefer_clm849|liber_juratus,yes,134|176|221-222|24|273-274,Tetragramaton|Tetragrammaton,function: conjuration authority
tetragramos,Tetragramos,divine_name,1,liber_juratus,,108,,"quote: ""tetragramos"""
theos,Theos,divine_name,1,liber_juratus,,"115, 117, 118, 119",,nature: sacred name
theos patir heminas,Theos Patir Heminas,divine_name,1,ars_notoria,,17,,function: invoked in prayers for memory and illumination
vos / duynas / gyram / gram / aysaram / alpha / omega,Vos / Duynas / Gyram / Gram / Aysaram / Alpha / Omega,divine_name,1,liber_juratus,,71-72,,"quote: ""in the next side to the right of the same third heptagon this name: Duynas."""
zabuater,Zabuater,divine_name,1,liber_juratus,,269-270,,"quote: ""invoking I conjure you through Zabuater, Rabarmas, Hiskiros"""
zabuather,Zabuather,divine_name,1,liber_juratus,,187-189,,"quote: """"Zabuather, Rabarmas, Yskiros..."""""
zebedei,Zebedei,divine_name,1,liber_juratus,,221,,"quote: ""Obey therefore Zebedei and me in his name."""
alpha et o,Alpha et O,incantation,1,kieckhefer_clm849,,"314r, 315v, 322r–v",,role: divine name of God used in exorcism and binding
apostle's creed,Apostle's Creed,incantation,1,liber_juratus,,18,,"quote: ""Honorius includes both the Apostle’s Creed and the Athanasian Creed"""
application prayer,Application Prayer,incantation,1,liber_juratus,,259,,purpose: binding spirits to appear and obey
"asperges me, domine, ysopo","Asperges me, Domine, ysopo",incantation,1,kieckhefer_clm849,,experiment no. 11,,function: used in invisibility ritual
assaylemaht,Assaylemaht...,incantation,1,liber_juratus,,"126, 127",,"quote: ""namely “Assaylemaht…” (XX) and “Hazailemaht …,” (XXI)"""
athanasian creed,Athanasian Creed,incantation,1,liber_juratus,,18,,"quote: ""Honorius includes both the Apostle’s Creed and the Athanasian Creed"""
ave maria,Ave Maria,incantation,1,kieckhefer_clm849,,experiment no. 15 (flying throne),,function: used in flying throne ritual
celi enarrant,Celi enarrant,incantation,1,kieckhefer_clm849,,p. 208–209,,"quote: ""...Celi enarrant in the middle band..."""
circulus cum nomine sanctorum,circulus cum nomine sanctorum,incantation,1,kieckhefer_clm849,,p. 258,,"quote: ""...in ipsa naui similiter potest fiere nominacio sanctorum, sicut in vera cristianitate..."""
conjuratio ad equum (no. 17),conjuratio ad equum (No. 17),incantation,1,kieckhefer_clm849,,before fol 37r,,function: to summon spirit for transport
conjuratio ad furtum per puerum (no. 22),conjuratio ad furtum per puerum (No. 22),incantation,1,kieckhefer_clm849,,fol 41v,,function: bind boy to reveal thief/murderer
conjurationes cristalli (two versions),conjurationes cristalli (two versions),incantation,1,kieckhefer_clm849,,"fols 43r-v, 43v-44r",,function: invoke angels into crystal
conjurationes floron (two versions),conjurationes Floron (two versions),incantation,1,kieckhefer_clm849,,"fols 37v, 39r",,function: invoke spirit for revelation
conjurationes lilit (two versions),conjurationes Lilit (two versions),incantation,1,kieckhefer_clm849,,"fols 42v, 43r",,function: bind and summon demon Lylet
consecration prayer,Consecration Prayer,incantation,1,liber_juratus,,207,,"quote: ""You, O Lord Jesus Christ... that from the gift and permission of your grace, all those angels which he shall c"""
"deus sanctus, deus omnipotens","Deus sanctus, deus omnipotens...",incantation,1,kieckhefer_clm849,,p. 209,,"quote: ""No. 23 has Deus sanctus, deus omnipotens, deus fortis..."""
deus tuum regi da,Deus tuum regi da,incantation,1,kieckhefer_clm849,,p. 208–209,,"quote: ""...and Deus tuum [sic] regi da in its three bands."""
eighth terminus,Eighth Terminus,incantation,1,liber_juratus,,"123, 124",,"quote: ""XLIX. Eighth Terminus."""
emanuel,Emanuel,incantation,1,kieckhefer_clm849,,"314r, 322v",,role: divine name invoked in binding and conjuration
"esto altissimus, vnus, eternus, amen","Esto altissimus, vnus, eternus, amen",incantation,1,kieckhefer_clm849,,p. 208,,"quote: ""...a rectangular signum with the inscription Esto altissimus, vnus, eternus, amen..."""
fifth terminus,Fifth Terminus,incantation,1,liber_juratus,,"120, 121",,"quote: ""XLVI. Fifth Terminus."""
first oration at the beginning of the note,First Oration at the beginning of the Note,incantation,1,ars_notoria,,32,,purpose: preservation and mercy
first oration of the 10,First Oration of the 10,incantation,1,ars_notoria,,41,,"purpose: To acquire Memory, Eloquence and understanding, and stability"
first terminus,First Terminus,incantation,1,liber_juratus,,"115, 116",,purpose: effective for obtaining divine consent
fourth terminus,Fourth Terminus,incantation,1,liber_juratus,,"119, 120",,"quote: ""XLV. Fourth Terminus."""
gemme and crown of the lord,The Gemme and Crown of the Lord,incantation,1,ars_notoria,,21,,function: protection from fire and wild beasts
hazaram hihel,Hazaram hihel...,incantation,1,liber_juratus,,"129, 130",,"quote: ""“Hazaram hihel ...” (XXXI) with its four parts"""
hic magister cum suis sociis,Hic magister cum suis sociis,incantation,1,kieckhefer_clm849,,"p. 258, n.c",,role: inscription in ship-shaped crescent
hunc circulum facio in nomine patris,Hunc circulum facio in nomine Patris...,incantation,1,kieckhefer_clm849,,p. 208–209,,"quote: ""Hunc circulum facio in nomine dei Patris omnipotentis, qui solo verbo vniuersa creauit..."""
in nomine patris et filij et spiritus sancti,In nomine Patris et Filij et Spiritus Sancti,incantation,1,kieckhefer_clm849,,p. 208–209,,"quote: ""The first circle for no. 39 has In nomine Patris et Filij et Spiritus Sancti..."""
invocation prayer (cxxxiii),Invocation Prayer (CXXXIII),incantation,1,liber_juratus,,265,,purpose: calling Heaven and binding spirits
"kostolya, elogo, yetas","kostolya, elogo, yetas",incantation,1,kieckhefer_clm849,,107v,,function: used when dismounting horse after completing task
lameht ragua,Lameht ragua...,incantation,1,liber_juratus,,"126, 130",,nature: most holy
latin incantation (boat ritual),Latin incantation (boat ritual),incantation,1,kieckhefer_clm849,,22r,,function: bind water spirits
latin incantation (horse ritual),Latin incantation (horse ritual),incantation,1,kieckhefer_clm849,,24r,,function: bind three horse spirits
latin incantation (resurrection ring),Latin incantation (resurrection ring),incantation,1,kieckhefer_clm849,,26v,,function: bind demons to ring
latin incantation (spirit summoning),Latin incantation (spirit summoning),incantation,1,kieckhefer_clm849,,20r,,function: invoke army spirits
latin oration/prologue,Latin Oration/Prologue,incantation,1,ars_notoria,,26,,purpose: Confession of Heart and Mouth preceding the main Oration
lesser doxology,Lesser Doxology,incantation,1,kieckhefer_clm849,,experiment no. 15 (flying throne),,function: used in flying throne ritual
lxxiv latin prayer,LXXIV Latin Prayer,incantation,1,liber_juratus,,150,,"quote: ""O God, always the way, the truth, and the life, give your light to flourish in my conscience"""
lxxix prayer 20,LXXIX Prayer 20,incantation,1,liber_juratus,,"151, 152",,"quote: ""Hofob, Deus, Pater inmense, a quo procedit omne, quod bonum est"""
lxxv prayer 18,LXXV Prayer 18,incantation,1,liber_juratus,,150,,"quote: ""Honzmorb. lemogethon. hegemothon. hazathay. hazathar. hazamathar."""
lxxviii latin prayer,LXXVIII Latin Prayer,incantation,1,liber_juratus,,"151, 152",,"quote: ""O king of kings, God of infinite mercy and immeasurable greatness"""
lxxxi latin prayer,LXXXI Latin Prayer,incantation,1,liber_juratus,,"152, 153",,"quote: ""O King, eternal God, judge and discerner of all good consciences"""
lxxxii prayer 22,LXXXII Prayer 22,incantation,1,liber_juratus,,"152, 153, 154",,"quote: ""Hanethi, O God, the author and foundation of all piety"""
miraculous and efficacious foundation of the physical science,The Miraculous and Efficacious Foundation of the Physical Science,incantation,1,ars_notoria,,19,,function: reveals knowledge of physical art
nomen dei ineffabile,Nomen dei ineffabile,incantation,1,kieckhefer_clm849,,322v,,role: ineffable name invoked for binding
oration for eloquence,Oration for Eloquence,incantation,1,ars_notoria,,25,,nature: Special Mystery · purpose: To obtain Eloquence
oration of the physical art,The Oration of the Physical Art,incantation,1,ars_notoria,,18–19,,function: diagnose illness and prognosis
